Key,GetIt citation,# links: common,# links: Ariadne only,# links: GetIt only,# links: Ariadne total,# links: GetIt total,# links: All Total,% total: Ariadne,% total: GetIt,ARIADNE: BACKEND_API_FETCH_ERROR_FAILED_TO_FETCH,ARIADNE: HTTP_400_BAD_REQUEST,GETIT: PAGE_NOT_FOUND,GETIT: PROBABLE_HTTP_400_BAD_REQUEST,GETIT: SORRY_SOMETHING_HAS_GONE_WRONG
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=The impact of advertising on social processes&jtitle=Mind & Society=&title=Mind & Society=&issn=1860-1839(ELECTRONIC),15937879(PRINT)&date=2021&aulast=Pavlovskaya&aufirst=Olga&au=Pavlovskaya,Olga&genre=article","Article | The impact of advertising on social processes | Pavlovskaya,Olga 2021 | Published in Journal Mind  | ISSN:0026-4423",2,1,3,3,5,8,38,63,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=00953997&title=Administration & Society=&volume=52&issue=9&date=20201001&atitle=Does Participatory Budgeting Alter Public Spending? Evidence From New York City.&aulast=Calabrese, Thad&spage=1382&sid=EBSCO:Complementary Index&pid=Calabrese, Thad14503572220201001Complementary Index",Article | Does Participatory Budgeting Alter Public Spending Evidence From New York City. | Calabrese Thad 2020 Oct 01 | Published in Journal Administration Volume 52 Issue 9 Page 1382. | ISSN:0095-3997,2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=00963445&title=Journal of Experimental Psychology: General&volume=150&issue=7&date=20210701&atitle=Levels of interpersonal trust across different types of environment: The micro\u2013macro interplay between relational distance and human ecology.&aulast=Jing, Yiming&spage=1438&sid=EBSCO:APA PsycArticles&pid=Jing, Yiming2020-87882-00120210701APA PsycArticles",Article | Levels of interpersonal trust across different types of environment The micro\u2013macro interplay between relational distance and human ecology. | Jing Yiming 2021 Jul 01 | Published in Journal Journal of Experimental Psychology General Volume 150 Issue 7 Page 1438. | ISSN:0096-3445,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=00989258&title=Advances in consumer research&volume=45&issue=&date=20170101&atitle=Luxurious Emirati Weddings: The Expenses, Pressures and Consequences&aulast=Arthur, Damien&spage=1001&sid=EBSCO:British Library Document Supply Centre Inside Serials & Conference Proceedings=&pid=Arthur, DamienCN60462082820170101British Library Document Supply Centre Inside Serials & Conference Proceedings=",Article | Luxurious Emirati Weddings The Expenses Pressures and Consequences | Arthur Damien 2017 Jan 01 | Published in Journal Advances in consumer research Volume 45 Page 1001. | ISSN:0098-9258,2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=00989258&title=Advances in consumer research&volume=46&issue=&date=20180101&atitle=I4. Pink Tax: Are Some Marketing Practices Discriminatory?&aulast=Bennett, Andrea Rochelle&spage=900&sid=EBSCO:British Library Document Supply Centre Inside Serials & Conference Proceedings=&pid=Bennett, Andrea RochelleCN60550251720180101British Library Document Supply Centre Inside Serials & Conference Proceedings=",Article | I4 Pink Tax Are Some Marketing Practices Discriminatory? | Bennett Andrea Rochelle 2018 Jan 01 | Published in Journal Advances in consumer research Volume 46 Page 900. | ISSN:0098-9258,2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01032070&title=Tempo Social: Revista de Sociologia da USP&volume=18&issue=1&date=20060501&atitle=Rebeli\u00d5es urbanas e a desestrutura\u00e7\u00e3o das classes populares (Fran\u00e7a, 2005).&aulast=Beaud, St\u00e9phane&spage=37&sid=EBSCO:SocINDEX with Full Text&pid=Beaud, St\u00e9phane2265602020060501SocINDEX with Full Text",Article | Rebeli\u00d5es urbanas e a desestrutura\u00e7\u00e3o das classes populares Fran\u00e7a 2005  | Beaud Stu00e9phane 2006 May 01 | Published in Journal Tempo Social Revista de Sociologia da USP Volume 18 Issue 1 Page 37. | ISSN:0103-2070,3,1,1,4,4,8,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01401971&title=Journal of Adolescence&volume=87&issue=&date=20210201&atitle=Identity synthesis and confusion in early to late adolescents: Age trends, gender differences, and associations with depressive symptoms.&aulast=Bogaerts, Annabel&spage=106&sid=EBSCO:Social Sciences Full Text (H.W. Wilson)&pid=Bogaerts, Annabel14873116120210201Social Sciences Full Text (H.W. Wilson)",Article | Identity synthesis and confusion in early to late adolescents Age trends gender differences and associations with depressive symptoms. | Bogaerts Annabel 2021 Feb 01 | Published in Journal Journal of Adolescence Volume 87 Page 106. | ISSN:0140-1971,2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=0140525X&title=Behavioral & Brain Sciences=&volume=20&issue=2&date=19970601&atitle=Could we take lime, purple, orange, and teal as unique hues?&aulast=Broackes, Justin&spage=183&sid=EBSCO:Academic Search Complete&pid=Broackes, Justin971214343119970601Academic Search Complete",Article | Could we take lime purple orange and teal as unique hues? | Broackes Justin 1997 Jun 01 | Published in Journal Behavioral Volume 20 Issue 2 Page 183. | ISSN:0140-525X,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01459740&title=Medical anthropology&volume=40&issue=2&date=20210101&atitle=The Ecology of Disabled Minds in Urban Uganda&aulast=Zoanni, Tyler&spage=169&sid=EBSCO:British Library Document Supply Centre Inside Serials & Conference Proceedings=&pid=Zoanni, Tylervdc.100116496776.0x00000120210101British Library Document Supply Centre Inside Serials & Conference Proceedings=",Article | The Ecology of Disabled Minds in Urban Uganda | Zoanni Tyler 2021 Jan 01 | Published in Journal Medical anthropology Volume 40 Issue 2 Page 169. | ISSN:0145-9740,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01461672&title=Personality & Social Psychology Bulletin=&volume=42&issue=12&date=20161201&atitle=The \u201cBad Is Black\u201d Effect.&aulast=Alter, Adam L.&spage=1653&sid=EBSCO:Education Full Text (H.W. Wilson)&pid=Alter, Adam L.11954633520161201Education Full Text (H.W. Wilson)",Article | The u201cBad Is Black\u201d Effect. | Alter Adam L 2016 Dec 01 | Published in Journal Personality Volume 42 Issue 12 Page 1653. | ISSN:0146-1672,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01463934&title=College Student Journal&volume=42&issue=3&date=20080901&atitle=FACTORIAL STRUCTURE OF BRIEF COPE FOR INTERNATIONAL STUDENTS ATTENDING U.S. COLLEGES.&aulast=Miyazaki, Yasuo&spage=795&sid=EBSCO:Academic Search Complete&pid=Miyazaki, Yasuo3426266820080901Academic Search Complete",Article | FACTORIAL STRUCTURE OF BRIEF COPE FOR INTERNATIONAL STUDENTS ATTENDING U.S COLLEGES. | Miyazaki Yasuo 2008 Sep 01 | Published in Journal College Student Journal Volume 42 Issue 3 Page 795. | ISSN:0146-3934,4,2,0,6,4,10,60,40,0,0,0,0,0
getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01495380&title=WWD: Women's Wear Daily&volume=&issue=&date=20211007&atitle=Buyers Hail Strong Paris Collections: The Simpson family's turn on the Balenciaga runway won buyers' hearts in what proved to be a powerful Paris Fashion Week.&aulast=&spage=1&sid=EBSCO:Business Source Complete&pid=15288079420211007Business Source Complete,Article | Buyers Hail Strong Paris Collections The Simpson family's turn on the Balenciaga runway won buyers hearts in what proved to be a powerful Paris Fashion Week. | 2021 Oct 07 | Published in Journal WWD Women's Wear Daily Page 1. | ISSN:0149-5380,6,1,0,7,6,13,54,46,0,0,0,0,0
getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01533320&title=Cahiers de linguistique - Asie orientale&volume=35&issue=2&date=20060101&atitle=Two general classifiers in the Shangai Wu dialect : a comparison with Mandarin and Cantonese&aulast=Mary S. Erbaugh&spage=169&sid=EBSCO:Pers\u00e9e&pid=Mary S. Erbaughedsper.clao.0153.3320.2006.num.35.2.175620060101Pers\u00e9e,Article | Two general classifiers in the Shangai Wu dialect a comparison with Mandarin and Cantonese | Mary S Erbaugh 2006 Jan 01 | Published in Journal Cahiers de linguistique Asie orientale Volume 35 Issue 2 Page 169. | ISSN:0153-3320,4,0,0,4,4,8,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01622870&title=October&volume=&issue=91&date=20000101&atitle=Performance, video, and the rhetoric of presence.&aulast=Wagner, Anne M.&spage=59&sid=EBSCO:Art & Architecture Source=&pid=Wagner, Anne M.50489749720000101Art & Architecture Source=",Article | Performance video and the rhetoric of presence. | Wagner Anne M 2000 Jan 01 | Published in Journal October Issue 91 Page 59. | ISSN:0162-2870,0,0,2,0,2,2,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01650327&title=Journal of Affective Disorders&volume=296&issue=&date=20220101&atitle=Perceived academic stress and depressive symptoms among Chinese adolescents: A moderated mediation analysis of overweight status&aulast=Fu, Yan&spage=224&sid=EBSCO:ScienceDirect&pid=Fu, YanS016503272101019320220101ScienceDirect",Article | Perceived academic stress and depressive symptoms among Chinese adolescents A moderated mediation analysis of overweight status | Fu Yan 2022 Jan 01 | Published in Journal Journal of Affective Disorders Volume 296 Page 224. | ISSN:0165-0327,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01876961&title=Estudios Fronterizos&volume=21&issue=&date=20200101&atitle=Ventanillas de Salud: Desaf\u00edos en el acceso a servicios de salud de inmigrantes mexicanos en ee. uu.&aulast=Marina Valle, Valeria&spage=1&sid=EBSCO:Academic Search Complete&pid=Marina Valle, Valeria14684139220200101Academic Search Complete",Article | Ventanillas de Salud Desaf\u00edos en el acceso a servicios de salud de inmigrantes mexicanos en ee uu. | Marina Valle Valeria 2020 Jan 01 | Published in Journal Estudios Fronterizos Volume 21 Page 1. | ISSN:0187-697X,3,1,1,4,4,8,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01911961&title=MISSOURI REVIEW&volume=42&issue=1&date=20190301&atitle=I can't say I loved punk when punk was contagious, CBGB nearly every night&aulast=Seuss, Diane&spage=14&sid=EBSCO:Arts & Humanities Citation Index=&pid=Seuss, Diane00046855650000520190301Arts & Humanities Citation Index=",Article | I can't say I loved punk when punk was contagious CBGB nearly every night | Seuss Diane 2019 Mar 01 | Published in Journal MISSOURI REVIEW Volume 42 Issue 1 Page 14. | ISSN:0191-1961,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=0192513X&title=JOURNAL OF FAMILY ISSUES&volume=&issue=&date=20210702&atitle=Personality Traits and Attachments Styles in Romantic Relationships Deciding&aulast=Tosun, Cansu&spage=&sid=EBSCO:Social Sciences Citation Index&pid=Tosun, Cansu00067142030000120210702Social Sciences Citation Index",Article | Personality Traits and Attachments Styles in Romantic Relationships Deciding | Tosun Cansu 2021 Jul 02 | Published in Journal JOURNAL OF FAMILY ISSUES. | ISSN:0192-513X,0,0,1,0,1,1,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01937235&title=Journal of Sport & Social Issues=&volume=45&issue=4&date=20210801&atitle=\,Article | \ | 2021 Aug 01 | Published in Journal Journal of Sport Volume 45 Issue 4. | ISSN:0193-7235,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01951920&title=Phalanx&volume=47&issue=4&date=20141201&atitle=Workforce Management Analysis : From Talent Acquisition, Through Force Shaping and Professional Growth, into Knowledge Transfer \u2013 A Focus on a Critical Skill&aulast=Matos Rafael E.&spage=4&sid=EBSCO:JSTOR Journals&pid=Matos Rafael E.edsjsr.2491064820141201JSTOR Journals",Article | Workforce Management Analysis From Talent Acquisition Through Force Shaping and Professional Growth into Knowledge Transfer u2013 A Focus on a Critical Skill | Matos Rafael E 2014 Dec 01 | Published in Journal Phalanx Volume 47 Issue 4 Page 4. | ISSN:0195-1920,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01956663&title=APPETITE&volume=129&issue=&date=20181001&atitle=Misperceived norms and personal sugar-sweetened beverage consumption and fruit and vegetable intake among students in the United States&aulast=Perkins, Jessica M.&spage=82&sid=EBSCO:Science Citation Index Expanded&pid=Perkins, Jessica M.00044297440001020181001Science Citation Index Expanded",Article | Misperceived norms and personal sugar-sweetened beverage consumption and fruit and vegetable intake among students in the United States | Perkins Jessica M 2018 Oct 01 | Published in Journal APPETITE Volume 129 Page 82. | ISSN:0195-6663,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=01956663&title=Appetite&volume=79&issue=&date=20140801&atitle=Clues to maintaining calorie restriction? Psychosocial profiles of successful long-term restrictors&aulast=Incollingo Belsky, Angela C.&spage=106&sid=EBSCO:ScienceDirect&pid=Incollingo Belsky, Angela C.S019566631400171820140801ScienceDirect",Article | Clues to maintaining calorie restriction Psychosocial profiles of successful long-term restrictors | Incollingo Belsky Angela C 2014 Aug 01 | Published in Journal Appetite Volume 79 Page 106. | ISSN:0195-6663,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=02636352&title=JOURNAL OF HYPERTENSION&volume=37&issue=6&date=20190601&atitle=Influence of blood pressure on the effects of low-dose asprin in elderly patients with multiple atherosclerotic risks&aulast=Ando, Katsuyuki&spage=1301&sid=EBSCO:Science Citation Index&pid=Ando, Katsuyuki00048075990002520190601Science Citation Index",Article | Influence of blood pressure on the effects of low-dose asprin in elderly patients with multiple atherosclerotic risks | Ando Katsuyuki 2019 Jun 01 | Published in Journal JOURNAL OF HYPERTENSION Volume 37 Issue 6 Page 1301. | ISSN:0263-6352,2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=02664909&title=Journal of Computer Assisted Learning&volume=28&issue=1&date=20120201&atitle=Quality in e-learning - a conceptual framework based on experiences from three international benchmarking projects.&aulast=Ossiannilsson, E.&spage=42&sid=EBSCO:CINAHL Complete&pid=Ossiannilsson, E.10462705920120201CINAHL Complete",Article | Quality in e-learning a conceptual framework based on experiences from three international benchmarking projects. | Ossiannilsson E 2012 Feb 01 | Published in Journal Journal of Computer Assisted Learning Volume 28 Issue 1 Page 42. | ISSN:0266-4909,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=02697491&title=Environmental Pollution&volume=185&issue=&date=20140201&atitle=Why small and medium chemical companies continue to pose severe environmental risks in rural China.&aulast=He, Guizhen&spage=158&sid=EBSCO:Biological & Agricultural Index Plus (H.W. Wilson)=&pid=He, Guizhen9327046020140201Biological & Agricultural Index Plus (H.W. Wilson)=",Article | Why small and medium chemical companies continue to pose severe environmental risks in rural China. | He Guizhen 2014 Feb 01 | Published in Journal Environmental Pollution Volume 185 Page 158. | ISSN:0269-7491,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=02753987&title=Psychomusicology: Music, Mind & Brain=&volume=31&issue=1&date=20210301&atitle=Do Singing and Talking Arise From the Same or Different Neurological Systems? Dissociations of Pitch, Timing, and Rhythm in Two Dysprosodic Singers.&aulast=Van Lancker Sidtis, Diana&spage=18&sid=EBSCO:Academic Search Complete&pid=Van Lancker Sidtis, Diana14916420820210301Academic Search Complete",Article | Do Singing and Talking Arise From the Same or Different Neurological Systems Dissociations of Pitch Timing and Rhythm in Two Dysprosodic Singers. | Van Lancker Sidtis Diana 2021 Mar 01 | Published in Journal Psychomusicology Music Mind Volume 31 Issue 1 Page 18. | ISSN:0275-3987,4,0,0,4,4,8,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=02761467&title=JOURNAL OF MACROMARKETING&volume=35&issue=1&date=20150301&atitle=Disney as Environmental Steward? That's Just Goofy: A Critical Examination of the Relationship Between Magic, Sustainability and Corporate Practice&aulast=Coleman, Catherine A.&spage=143&sid=EBSCO:Social Sciences Citation Index&pid=Coleman, Catherine A.00034962360009320150301Social Sciences Citation Index",Article | Disney as Environmental Steward That's Just Goofy A Critical Examination of the Relationship Between Magic Sustainability and Corporate Practice | Coleman Catherine A 2015 Mar 01 | Published in Journal JOURNAL OF MACROMARKETING Volume 35 Issue 1 Page 143. | ISSN:0276-1467,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03014797&title=Journal of Environmental Management&volume=288&issue=&date=20210615&atitle=An overview of brine management: Emerging desalination technologies, life cycle assessment, and metal recovery methodologies.&aulast=Bello, Adewale S.&spage=N.PAG&sid=EBSCO:Biological & Agricultural Index Plus (H.W. Wilson)=&pid=Bello, Adewale S.14992169020210615Biological & Agricultural Index Plus (H.W. Wilson)=",Article | An overview of brine management Emerging desalination technologies life cycle assessment and metal recovery methodologies. | Bello Adewale S 2021 Jun 15 | Published in Journal Journal of Environmental Management Volume 288 Page N.PAG. | ISSN:0301-4797,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03014797&title=Journal of Environmental Management&volume=304&issue=&date=20220215&atitle=Research on the coordinated development of ecosystem services and well-being in agricultural and pastoral areas&aulast=Yang, Hai-Jiang&spage=&sid=EBSCO:ScienceDirect&pid=Yang, Hai-JiangS030147972102362820220215ScienceDirect",Article | Research on the coordinated development of ecosystem services and well-being in agricultural and pastoral areas | Yang Hai-Jiang 2022 Feb 15 | Published in Journal Journal of Environmental Management Volume 304. | ISSN:0301-4797,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03017605&title=Critique: Journal of Socialist Theory&volume=39&issue=3&date=20110801&atitle=A Marxist Interpretation of the Dystopian Society in the African Novel.&aulast=Afolayan, Sola&spage=341&sid=EBSCO:Complementary Index&pid=Afolayan, Sola6259646720110801Complementary Index",Article | A Marxist Interpretation of the Dystopian Society in the African Novel. | Afolayan Sola 2011 Aug 01 | Published in Journal Critique Journal of Socialist Theory Volume 39 Issue 3 Page 341. | ISSN:0301-7605,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03029743&title=Lecture notes in computer science&volume=12720&issue=&date=20210101&atitle=Assessing Bias in YouTube's Video Recommendation Algorithm in a Cross-lingual and Cross-topical Context&aulast=Kirdemir, Baris&spage=71&sid=EBSCO:British Library Document Supply Centre Inside Serials & Conference Proceedings=&pid=Kirdemir, BarisCN60693161820210101British Library Document Supply Centre Inside Serials & Conference Proceedings=",Article | Assessing Bias in YouTube's Video Recommendation Algorithm in a Cross-lingual and Cross-topical Context | Kirdemir Baris 2021 Jan 01 | Published in Journal Lecture notes in computer science Volume 12720 Page 71. | ISSN:0302-9743,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03042340&title=Revista da Faculdade de Direito da Universidade Federal de Minas Gerais&volume=60&issue=&date=20120101&atitle=Human Rights and Democracy - Utopia or Reality&aulast=da Costa, Mara Nunes&spage=269&sid=EBSCO:HeinOnline&pid=da Costa, Mara Nunesedshol.hein.journals.rvufmg60.1320120101HeinOnline",Article | Human Rights and Democracy Utopia or Reality | Da Costa Mara Nunes 2012 Jan 01 | Published in Journal Revista da Faculdade de Direito da Universidade Federal de Minas Gerais Volume 60 Page 269. | ISSN:0304-2340,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03044092&title=Dialectical Anthropology&volume=42&issue=2&date=20180601&atitle=Antiracism: a neoliberal alternative to a Left.&aulast=Reed, Adolph&spage=105&sid=EBSCO:Alternative Press Index&pid=Reed, AdolphALTP98438220180601Alternative Press Index",Article | Antiracism a neoliberal alternative to a Left. | Reed Adolph 2018 Jun 01 | Published in Journal Dialectical Anthropology Volume 42 Issue 2 Page 105. | ISSN:0304-4092,0,0,3,0,3,3,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03054403&title=Journal of Archaeological Science&volume=97&issue=&date=20180901&atitle=On the origins of tin-opacified ceramic glazes: New evidence from early Islamic Egypt, the Levant, Mesopotamia, Iran, and Central Asia&aulast=Matin, Moujan&spage=42&sid=EBSCO:ScienceDirect&pid=Matin, MoujanS030544031830345520180901ScienceDirect",Article | On the origins of tin-opacified ceramic glazes New evidence from early Islamic Egypt the Levant Mesopotamia Iran and Central Asia | Matin Moujan 2018 Sep 01 | Published in Journal Journal of Archaeological Science Volume 97 Page 42. | ISSN:0305-4403,0,0,1,0,1,1,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03057356&title=PSYCHOLOGY OF MUSIC&volume=49&issue=3&date=20210501&atitle=Popular music lyrics and musicians' gender over time: A computational approach&aulast=Anglada-Tort, Manuel&spage=426&sid=EBSCO:Arts & Humanities Citation Index=&pid=Anglada-Tort, Manuel00049212500000120210501Arts & Humanities Citation Index=",Article | Popular music lyrics and musicians gender over time A computational approach | Anglada Tort Manuel 2021 May 01 | Published in Journal PSYCHOLOGY OF MUSIC Volume 49 Issue 3 Page 426. | ISSN:0305-7356,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=0305750X&title=World Development&volume=127&issue=&date=20200301&atitle=Redefining the social contract in the wake of the Arab Spring: The experiences of Egypt, Morocco and Tunisia&aulast=El-Haddad, Amirah&spage=&sid=EBSCO:ScienceDirect&pid=El-Haddad, AmirahS0305750X1930423120200301ScienceDirect",Article | Redefining the social contract in the wake of the Arab Spring The experiences of Egypt Morocco and Tunisia | El Haddad Amirah 2020 Mar 01 | Published in Journal World Development Volume 127. | ISSN:0305-750X,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03057925&title=COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION&volume=&issue=&date=20210811&atitle=Does higher education expansion close the rural-urban gap in college enrolment in China? New evidence from a cross-provincial assessment&aulast=Zhao, Kai&spage=&sid=EBSCO:Social Sciences Citation Index&pid=Zhao, Kai00068408420000120210811Social Sciences Citation Index",Article | Does higher education expansion close the rural-urban gap in college enrolment in China New evidence from a cross-provincial assessment | Zhao Kai 2021 Aug 11 | Published in Journal COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION. | ISSN:0305-7925,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03058298&title=MILLENNIUM -LONDON- LONDON SCHOOL OF ECONOMICS-&volume=38&issue=1&date=20090101&atitle=`A Fresh Crop of Human Misery': Representations of Bosnian `War Babies' in the Global Print Media, 1991-2006&aulast=Carpenter, R.C.&spage=25&sid=EBSCO:British Library Document Supply Centre Inside Serials & Conference Proceedings=&pid=Carpenter, R.C.RN25599134620090101British Library Document Supply Centre Inside Serials & Conference Proceedings=",Article | `A Fresh Crop of Human Misery Representations of Bosnian War Babies in the Global Print Media 1991-2006 | Carpenter R C 2009 Jan 01 | Published in Journal MILLENNIUM LONDON LONDON SCHOOL OF ECONOMICS Volume 38 Issue 1 Page 25. | ISSN:0305-8298,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03062619&title=Applied Energy&volume=260&issue=&date=20200215&atitle=Design of minimum cost degradation-conscious lithium-ion battery energy storage system to achieve renewable power dispatchability&aulast=Li, Yang&spage=&sid=EBSCO:ScienceDirect&pid=Li, YangS030626191931969520200215ScienceDirect",Article | Design of minimum cost degradation-conscious lithium-ion battery energy storage system to achieve renewable power dispatchability | Li Yang 2020 Feb 15 | Published in Journal Applied Energy Volume 260. | ISSN:0306-2619,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03062619&title=Applied Energy&volume=262&issue=&date=20200315&atitle=Spatially-resolved urban energy systems model to study decarbonisation pathways for energy services in cities.&aulast=Jalil-Vega, Francisca&spage=N.PAG&sid=EBSCO:Environment Complete&pid=Jalil-Vega, Francisca14200637420200315Environment Complete",Article | Spatially-resolved urban energy systems model to study decarbonisation pathways for energy services in cities. | Jalil Vega Francisca 2020 Mar 15 | Published in Journal Applied Energy Volume 262 Page N.PAG. | ISSN:0306-2619,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03064220&title=Index on Censorship&volume=45&issue=4&date=20161201&atitle=Baggy trousers are revolting: the {sans-culottes} of the French revolution transformed peasant dress into a badge of honour.&aulast=Werlin, Katy&spage=36&sid=EBSCO:Alternative Press Index&pid=Werlin, KatyALTP95408620161201Alternative Press Index",Article | Baggy trousers are revolting the sans-culottes of the French revolution transformed peasant dress into a badge of honour. | Werlin Katy 2016 Dec 01 | Published in Journal Index on Censorship Volume 45 Issue 4 Page 36. | ISSN:0306-4220,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03064573&title=Information Processing and Management&volume=24&issue=1&date=19880101&atitle=The control revolution: Technological and economic origins of the information society: J. Beniger. Harvard University Press, Cambridge, MA (1986). x + 493 pp., $25.00, ISBN 0-674-16985-9.&aulast=Koenig, Michael E.D.&spage=104&sid=EBSCO:ScienceDirect&pid=Koenig, Michael E.D.030645738890082919880101ScienceDirect",Article | The control revolution Technological and economic origins of the information society J Beniger Harvard University Press Cambridge MA 1986 x 493 pp 25.00 ISBN 0-674-16985-9. | Koenig Michael E.D 1988 Jan 01 | Published in Journal Information Processing and Management Volume 24 Issue 1 Page 104. | ISSN:0306-4573,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03064964&title=Foundation: The International Review of Science Fiction&volume=48&issue=&date=19900101&atitle=Difference and Desire, Slavery and Seduction: Octavia Butler's Xenogenesis&aulast=Bonner, Frances&spage=50&sid=EBSCO:MLA International Bibliography&pid=Bonner, Frances199003765719900101MLA International Bibliography",Article | Difference and Desire Slavery and Seduction Octavia Butler's Xenogenesis | Bonner Frances 1990 Jan 01 | Published in Journal Foundation The International Review of Science Fiction Volume 48 Page 50. | ISSN:0306-4964,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=0306610X&title=Crafts (0306610X)&volume=&issue=292&date=20220101&atitle=Visions of a lost future.&aulast=Adamson, Glenn&spage=86&sid=EBSCO:Art & Architecture Source=&pid=Adamson, Glenn15428268320220101Art & Architecture Source=",Article | Visions of a lost future. | Adamson Glenn 2022 Jan 01 | Published in Journal Crafts 0306610X Issue 292 Page 86. | ISSN:0306-610X,1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve?genre=article&isbn=&issn=03066150&title=Journal of Peasant Studies&volume=48&issue=4&date=20210701&atitle=Rural revitalization, scholars, and the dynamics of the collective future in China.&aulast=Yan, Hairong&spage=853&sid=EBSCO:Complementary Index&pid=Yan, Hairong15098710820210701Complementary Index",Article | Rural revitalization scholars and the dynamics of the collective future in China. | Yan Hairong 2021 Jul 01 | Published in Journal Journal of Peasant Studies Volume 48 Issue 4 Page 853. | ISSN:0306-6150,1,0,0,1,1,2,50,50,0,0,0,0,0
